"Block.Size"	"Transactions.in.block"	"Un.modified.Base.Reward"	"Block.Penalty"	"New.base.reward"	"Fees.in.Block"	"Total.Block.Reward.with.Fees"	"Remaining.of.txs.in.txpool"	"Num.transactions.entered.into.txpool"	"Oldest.tx"	"Median100"
244445.200638691	11	8305484912318.33	0	8305484912318.33	3171010435652.21	11476495347970.5	0	10	0	3e+05
589215.767992509	19	8305469070863.04	7447464398708.47	858004672154.565	7578579440001.5	8436584112156.06	6	24	0	302636.950119948
585905.809593442	25	8305467434349	7543406833356.32	762060600992.676	7585670982499.86	8347731583492.54	22	40	1	3e+05
574239.677138488	22	8305465980833.75	6940361183345.2	1365104797488.55	7450843269796.6	8815948067285.15	17	16	1	3e+05
580462.1645245	23	8305463377102.98	7258885083079.87	1046578294023.11	7531592438119.34	8578170732142.45	4	9	2	3e+05
581727.521863756	24	8305461380913.3	0	8305461380913.3	7548010037416.07	15853471418329.4	11	30	1	3e+05
565575.072411989	21	8305445539502.89	6508711810763.17	1796733728739.72	7338388194573.77	9135121923313.49	12	21	1	3e+05
580975.676717245	21	8305442112505.27	7285472075361.19	1019970037144.08	7538237138824.09	8558207175968.17	4	12	1	3e+05
579997.650005569	21	8305440167066.81	0	8305440167066.81	7525541836141.81	15830982003208.6	27	43	1	3e+05
588398.727554005	22	8305424325696.86	7675487979739.53	629936345957.333	7634557013819.09	8264493359776.42	29	23	1	3e+05
594281.191079504	24	8305423124188.64	7991793682941.86	313629441246.776	7710895242806.48	8024524684053.25	30	24	2	3e+05
580190.434541984	21	8305422525987.95	0	8305422525987.95	7528031254509.52	15833453780497.5	37	27	3	3e+05
602900.181995175	25	8305406684651.65	7922270860684.27	383135823967.379	7822736952710.38	8205872776677.75	40	27	2	305009.208700494
619239.802726272	22	8305405953878.06	7697212611409.94	608193342468.118	7969338897888.1	8577532240356.22	43	24	2	315505.71347373
576776.444204171	25	8305404793841.32	6309306081909.19	1996098711932.13	7314415796020.52	9310514507952.64	55	36	2	308175.179276827
573123.476777602	24	8305400986585.17	6560033761428.14	1745367225157.03	7086173919775.37	8831541144932.39	68	36	2	303442.884683913
632757.586368532	23	8305397657561.38	7953559926064.05	351837731497.329	7992388043099.96	8344225774597.29	95	49	2	319802.353111504
648711.836780438	21	8305396986484.16	7914616927562.42	390780058921.744	8246516212669.07	8637296271590.81	105	30	3	328263.751764514
643056.33903249	29	8305396241130.35	6606201712394.48	1699194528735.87	8206792306245.02	9905986834980.89	97	20	3	339907.28800167
687390.647915305	23	8305393000173.99	8305141210134.74	251790039.251953	8366881796487.09	8367133586526.34	99	24	3	343697.928902744
642245.31395726	37	8305392999693.74	7289493802906.83	1015899196786.91	7768420037758.34	8784319234545.26	91	28	4	331593.239008164
605653.115943084	22	8305391062019.8	6397673649050.19	1907717412969.61	7171472049395.57	9079189462365.17	106	36	4	322555.764624895
647889.507914061	23	8305387423337.6	7515484341794.53	789903081543.067	7398403416404.37	8188306497947.44	103	19	4	332036.742487841
639414.255973098	21	8305385916717.04	6904878727722.79	1400507188994.25	7241729857014.62	8642237046008.87	117	34	4	334457.206462262
643422.472354691	16	8305383245461.56	8177235139246.21	128148106215.353	7553146018240.49	7681294124455.85	137	35	4	322961.866014314
629113.820948718	24	8305383001038.45	6936167022421.55	1369215978616.9	7474007242979.96	8843223221596.86	135	21	5	328714.552760388
635467.774181086	26	8305380389466.22	0	8305380389466.22	7668759917710.09	15974140307176.3	130	20	5	325405.118606899
607589.231090448	28	8305364548210.29	0	8305364548210.29	7108123558175.62	15413488106385.9	105	0	6	318749.506779606
613063.770193662	26	8305348706984.58	6785097004996.33	1520251701988.25	7135080363629.99	8655332065618.24	109	29	5	322011.681052416
616135.419239559	15	8305345807334.57	7718181771689.42	587164035645.154	7389542844004.94	7976706879650.1	131	36	6	313714.001981105
603696.014816485	20	8305344687408.05	7055982297701.77	1249362389706.29	7276116669595.19	8525479059301.48	135	23	6	314143.27534216
566306.145883947	17	8305342304438.41	6440660969966.02	1864681334472.39	6730599328550.35	8595280663022.74	147	28	7	301128.045078956
574117.763358927	20	8305338747841.02	6234900065405.38	2070438682435.64	6839934679463.46	8910373361899.1	161	33	7	307601.234862953
576065.174584813	25	8305334798792.62	5814603492094.69	2490731306697.93	6930037493342.06	9420768800039.99	165	28	7	313637.555375809
572848.095144239	18	8305330048099.67	6777853334358.31	1527476713741.36	6924604125664	8452080839405.37	179	31	6	300964.53177149
553305.722870142	17	8305327134669.05	5921125109198.9	2384202025470.15	6865239073509.79	9249441098979.94	201	38	6	3e+05
574308.829298966	19	8305322587164.58	0	8305322587164.58	7125883612830.52	15431206199995.1	226	43	7	3e+05
573042.388321873	29	8305306746018.89	0	8305306746018.89	7124844014814.13	15430150760833	220	22	8	3e+05
581769.60491815	24	8305290904903.43	0	8305290904903.43	7520170649818.9	15825461554722.3	239	42	7	3e+05
573550.626836859	26	8305275063818.17	0	8305275063818.17	7265144598201.75	15570419662019.9	252	38	8	3e+05
595986.65500437	24	8305259222763.13	8084533111345.04	220726111418.093	7439856756973.21	7660582868391.3	256	27	8	3e+05
572584.572072214	28	8305258801761.48	6856669305081.3	1448589496680.18	7213599715469.76	8662189212149.94	248	19	8	3e+05
597805.563120916	22	8305256038796.29	8184198020100.4	121058018695.889	7734250891728.73	7855308910424.62	254	27	8	3e+05
588519.523370401	20	8305255807896.44	7681763216246.87	623492591649.571	7636028023043.74	8259520614693.31	286	51	8	3e+05
585648.556057494	17	8305254618678.7	7529645122433.23	775609496245.469	7598771268783.38	8374380765028.84	321	51	9	3e+05
582010.482571679	18	8305253139320.99	7339067262621.97	966185876699.019	7551555954964.77	8517741831663.78	336	32	10	3e+05
566612.808291052	23	8305251296467.68	6559523421370.17	1745727875097.51	7351738942696.68	9097466817794.19	347	33	10	3e+05
581008.863591803	23	8305247966756	0	8305247966756	7538547580611.32	15843795547367.3	370	45	11	3e+05
551205.884991152	26	8305232125752.64	5823296248539.96	2481935877212.68	7151778242066.04	9633714119278.73	378	33	11	3e+05
587673.692790292	19	8305227391835.64	0	8305227391835.64	7625018355066.16	15930245746901.8	400	40	11	3e+05
552609.475681237	23	8305211550871.53	5888537765746.93	2416673785124.6	7169977990664.6	9586651775789.2	407	29	12	3e+05
580025.623401301	22	8305206941432.09	0	8305206941432.09	7525753590976.91	15830960532409	425	39	12	3e+05
575897.943691241	26	8305191100506.98	7024316112772.99	1280874987733.99	7472175754191.85	8753050741925.84	446	46	12	3e+05
586944.172775521	23	8305188657431.83	7598044134179.09	707144523252.738	7615521757835.43	8322666281088.17	470	46	13	3e+05
588127.906546814	23	8305187308660.69	7660860775475.5	644326533185.188	7630880659696.72	8275207192881.91	479	31	12	3e+05
569976.733346055	27	8305186079705.36	6726041371173.08	1579144708532.28	7395333396887.62	8974478105419.89	491	38	13	3e+05
