""	"(Intercept)"	""	""	""
"77"	"382980216628.685"	"649c3b59401682c5cc6d662e6c0e805a"	"37860.4731644232"	"4"
"77"	"243443510415.44"	"def5bf19a3747f6adf20ddcc352d6bb6"	"24066.220898488"	"4"
"77"	"129973794856.177"	"e303b0b60f8eb7f57347d113cd6c3e04"	"12848.8865966711"	"4"
"77"	"387060455437.788"	"720da737081b7fbfe7aaefebb27e7b48"	"38263.8354406691"	"4"
"77"	"135549314060.749"	"ca2197e7ace82fed0f4b81acfbba61b5"	"13400.0685795961"	"4"
"77"	"133688494624.74"	"9747bf97988f0f43751e69f28bc71ce6"	"13216.1125911092"	"4"
"77"	"519859343918.611"	"af4dab0903a0597997f16f69a5c2fb27"	"51392.003777542"	"4"
"77"	"237499321916.097"	"4bfa32e8423fcddbc7f78bbc036fc373"	"23478.5931845953"	"4"
"77"	"527177967619.759"	"fee3fdccf25db5d16d7620c5a263d7a8"	"52115.504742362"	"4"
"77"	"113340325074.448"	"9d6a13822a7cac00884ec620071a7a5f"	"11204.5430798023"	"4"
"77"	"528152480635.802"	"5cb617eee2b51a91f1f1841676b366cc"	"52211.8426791281"	"4"
"77"	"117803980138.098"	"a00350fdc3d911d99391226ca579cfec"	"11645.8089348384"	"4"
"77"	"384532214041.304"	"a68468820da6252cb58dfe1770ae77a0"	"38013.8997745729"	"4"
"77"	"104791909480.879"	"5c4a2d6a1a355d9b267c87c2110fce4c"	"10359.4679424292"	"4"
"77"	"127485747734.148"	"b53aee82fc36c8af9e5b9ec7f3b6ed1b"	"12602.9244367335"	"4"
"77"	"375126444551.615"	"eb30dcfd256b7dbdee76e362184ef047"	"37084.0687600889"	"4"
"77"	"367031421617.269"	"fb9eb983f6995c6b61ef8f023a0fd939"	"36283.8148951005"	"4"
"77"	"503082150647.933"	"de6d1058447a0125677071decf87e08e"	"49733.452113463"	"4"
"77"	"146223659491.358"	"47cffb22773b6f0252b11ebc04fa3bff"	"14455.3078613556"	"4"
"77"	"522151936469.2"	"a3ef8a2978fbf4bd8663c2f38f8dd060"	"51618.6437839178"	"4"
"77"	"109448118691.004"	"106c19f0b62e86f893151141385e599e"	"10819.7692222178"	"4"
"77"	"236179255512.119"	"fa0144e086b3b2c30e9310e4cdfe733c"	"23348.0946980076"	"4"
"77"	"103866373390.407"	"49f941470165ce57e21071d2347957d8"	"10267.9717429011"	"4"
"77"	"644326092041.201"	"58a7161e36522dc5b567a4ba71dbe8a0"	"63696.4774097327"	"4"
"77"	"129697165071.148"	"3cc21ce07588ba0c8d6224cce8063572"	"12821.5396630756"	"4"
"77"	"117704944683.614"	"b956b1435ac568df40bb95b718155a07"	"11636.0185357421"	"4"
"77"	"533166365560.375"	"ba582ec5f75bb75084a47ac4781186dd"	"52707.502891834"	"4"
"77"	"513266461009.154"	"ef5f9a56c5b32851ee9fd679040d0270"	"50740.2477451627"	"4"
"77"	"115504612733.722"	"83bba003e9c3346ea7dddfc3856a0821"	"11418.4991832412"	"4"
"77"	"259908231588.051"	"8d0a7212cf090589e62044483d590535"	"25693.8823469114"	"4"
"77"	"121900335906.146"	"cc69ec1c8d52e6654da8b6bc4bdce375"	"12050.7644936225"	"4"
"78"	"421743458404.797"	"8c980933add21e588ec3c257e70041d6"	"40755.4534902636"	"4"
"78"	"105040853901.267"	"341038864737c44840b4c087054bcc6f"	"10150.6912565831"	"4"
"78"	"141199770990.926"	"58dd1bc9fbdc4eefe62b8a08775ab19a"	"13644.9317346213"	"4"
"78"	"524583435851.827"	"f575a524611a42f2d0020d4084563aba"	"50693.4616187959"	"4"
"78"	"129099290791.74"	"5ee3d8ca4fe67eb09ec1c5b280751b16"	"12475.5939579712"	"4"
"78"	"265381842769.236"	"3da1b30960c80e4b920eec885c2e37f6"	"25645.3470340751"	"4"
"78"	"529991734526.303"	"a0c1f302a6736a42bc06a16c73c2f3cc"	"51216.0960798561"	"4"
"78"	"229787497706.142"	"8f98c1b6cfda1eef3d3004a2f2935032"	"22205.6643411358"	"4"
"78"	"133653799001.805"	"fc3db273fa5ee38762068c86035d732e"	"12915.7218220249"	"4"
"78"	"127911193715.733"	"1b9fae48efecd8e47794722453ff3cf4"	"12360.7814240525"	"4"
"78"	"130161056795.935"	"b8399fdd24f21d359544556b6bc50fce"	"12578.1984065742"	"4"
"78"	"525139117650.674"	"467827c2c516dd52b2f77c25293bb7c3"	"50747.1602909554"	"4"
"78"	"129178140268.852"	"f1bcca1b7f9d345460d9df8d06c62652"	"12483.2136284916"	"4"
"78"	"237656432591.274"	"fae10db60e9d4b8c304f8faea4c12bd1"	"22966.0839833087"	"4"
"78"	"527806496938.058"	"50e58ec18fba6ad5d102fbc20ecf12a1"	"51004.9242237952"	"4"
"78"	"525551728723.137"	"cdc03fc270e624aa9c13b2ba3e9b7fb6"	"50787.0332303886"	"4"
"78"	"551957069024.592"	"ec6df933649e581801a8fe3c98652016"	"53338.7304697981"	"4"
"78"	"524880007445.621"	"870fa07aaa6d08562d41bbab5a3fc87b"	"50722.1210077124"	"4"
"78"	"139025842853.509"	"46ee17ff18739e91416ba9f99c3f9486"	"13434.8527746991"	"4"
"78"	"175001999734.649"	"243e936d26d2a891a28a690459613cf7"	"16911.4321010829"	"4"
"78"	"405828882359.05"	"8e9726adec9790a5cb7b2eeec74b146c"	"39217.5380800211"	"4"
"78"	"404843442472.114"	"3ff2da5ddac50e7c6706b2bf1efae1ee"	"39122.3094554175"	"4"
"78"	"121645452963.708"	"d27109b91d58e62caa90845770deb855"	"11755.2874899744"	"4"
"78"	"149215283750.88"	"8afab376fa32fc4e0f418cb6bc6581ac"	"14419.5160250915"	"4"
"78"	"527690040653.908"	"8ba237bc01a5e210c2465a6898f3800b"	"50993.6703950096"	"4"
"78"	"136306137896.851"	"233ab34ca0866a07403387f94c689ea1"	"13172.0323167659"	"4"
"78"	"235551590810.195"	"2ca75a7e9422762cbbd5642a83fc4235"	"22762.681228379"	"4"
"78"	"530907243698.672"	"abc795e32119eba41a7030a61c4e932e"	"51304.5669043605"	"4"
"78"	"670538346481.685"	"27727b89f902ea21a48e8922337ef57e"	"64797.9093661308"	"4"
"78"	"516258597968.01"	"6872ce2cf65ddc372b93e86239c50b1f"	"49888.9854937336"	"4"
"78"	"518808444057.562"	"be3043886ca334deb6f5484ae42a2f5f"	"50135.3915295334"	"4"
"78"	"137000501686.723"	"3e666035660c01de9e98207bdf26fa59"	"13239.1326133549"	"4"
"78"	"386203872821.841"	"9d736060535c18a52fc3144fc6579db6"	"37321.0625153141"	"4"
"78"	"541361589299.904"	"f9a373f65bada1a7f2bfd3ae2bff1f9e"	"52314.8293931581"	"4"
"78"	"150598701121.645"	"47a492ccfba770d83fb6af5d32bf6f29"	"14553.2034627701"	"4"
"78"	"534606581624.87"	"6eab110a4febe5c6ee9964ce3c17626f"	"51662.0548316568"	"4"
"78"	"506985144626.853"	"3d31f61bdfcd84f25bf8d51e7f8ec5a6"	"48992.8392967796"	"4"
"78"	"406099692924.302"	"5c58f2fcaa1b002f206c6050c644a64f"	"39243.7080351843"	"4"
"78"	"131477891676.5"	"14323bf6bdd990d95852952b9b52cf41"	"12705.4516019935"	"4"
"78"	"138945408517.462"	"b0ae94f7017c1e9b4349311e44867a56"	"13427.0799503045"	"4"
"78"	"124978377485.839"	"3e77f45edd41e51f3912359c37df898b"	"12077.3668195793"	"4"
"78"	"390839898586.846"	"7391184c7fe762c25f1a2c0d991808cf"	"37769.0678813251"	"4"
"78"	"653088618652.58"	"807b195bba0ac085badb75a3df41a43b"	"63111.64356453"	"4"
"78"	"242432752544.828"	"1789f22c5a5cfac2990ea9d7783a28fa"	"23427.6467695058"	"4"
"78"	"138910224053.836"	"7832244be063709e792cb3d539a01746"	"13423.6798767708"	"4"
"78"	"396193797788.902"	"ce0405b29021ab384d37b7d4895a8515"	"38286.4454139755"	"4"
"78"	"114535003819.547"	"2d7681e99353b1827a0d8f22de2661d4"	"11068.1646108529"	"4"
"79"	"531835196274.572"	"c8cd642ce809eeb319477eb4daad1d7f"	"50956.3034259635"	"4"
"79"	"256781823600.369"	"c0ab81df1d640ac37c6168dd8ce4919b"	"24602.8330003518"	"4"
"79"	"530677885595.961"	"34f9d7562b1d749e834a91ed4fe1a82a"	"50845.4189367259"	"4"
"79"	"201589682295.331"	"e8a08cafb288ef5c90b23344e68c1deb"	"19314.7521836467"	"4"
"79"	"533111671996.631"	"675e2e4088050c9fcbd35df5e0d4f9b6"	"51078.6053809013"	"4"
"79"	"228507513817.554"	"f01cbddaa3e76746165a10e61c71946f"	"21893.8090046759"	"4"
"79"	"144455971943.489"	"8d850693741bd7d8f67c445004c3d744"	"13840.6453533109"	"4"
"79"	"228510567402.93"	"793da2ba8a1d668316ec2e339acd3fd4"	"21894.1015754272"	"4"
"79"	"138703460419.751"	"4ce734695f0ab4225632d265f3711a58"	"13289.484533722"	"4"
"79"	"119172045134.33"	"44c878f234ceae383575c99dc420c249"	"11418.1365473647"	"4"
"79"	"246631939102.806"	"c50c5da77086a3256d42ab1736a17e4e"	"23630.3501751849"	"4"
